route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-1998130,000047,OCESN13118F744210:2022-02-14T09:22:38Z,13118,0,,
OCESN-1998130,000050,OCESN13118F763789:2022-03-04T20:33:16Z,13118,0,,
OCESN-1998130,000038,OCESN13119F540593:2022-03-08T20:46:18Z,13119,1,,
OCESN-1998130,000039,OCESN13119F712051:2022-02-23T20:44:24Z,13119,1,,
OCESN-1998130,000051,OCESN13122F540693:2022-02-14T09:22:38Z,13122,0,,
OCESN-1998130,000052,OCESN13122F567626:2022-03-08T20:46:18Z,13122,0,,
OCESN-1998130,000037,OCESN13122F711696:2022-03-01T20:49:34Z,13122,0,,
OCESN-1998130,000038,OCESN13123F540512:2022-03-08T20:46:18Z,13123,1,,
OCESN-1998130,000039,OCESN13123F712678:2022-02-22T20:26:28Z,13123,1,,
OCESN-1998130,000053,OCESN13126F540683:2022-03-06T20:33:18Z,13126,0,,
OCESN-1998130,000037,OCESN13126F720144:2022-03-01T20:49:34Z,13126,0,,
OCESN-1998130,000054,OCESN13126F762291:2022-03-08T20:46:18Z,13126,0,,
OCESN-1998130,000055,OCESN13127F570140:2022-03-09T20:30:55Z,13127,1,,
OCESN-1998130,000056,OCESN13127F710999:2022-02-23T20:44:24Z,13127,1,,
OCESN-1998130,000038,OCESN13131F540583:2022-03-08T20:46:18Z,13131,1,,
OCESN-1998130,000039,OCESN13131F711885:2022-02-22T20:26:28Z,13131,1,,
OCESN-1998130,000034,OCESN13134F540639:2022-03-08T20:46:18Z,13134,0,,
OCESN-1998130,000037,OCESN13134F712923:2022-03-01T20:49:34Z,13134,0,,
OCESN-1998130,000057,OCESN13135F540582:2022-03-10T20:29:31Z,13135,1,,
OCESN-1998130,000045,OCESN13135F665187:2022-02-14T09:22:38Z,13135,1,,
OCESN-1998130,000058,OCESN13135F723433:2022-03-04T20:33:16Z,13135,1,,
OCESN-1998130,000059,OCESN13135F727037:2022-02-14T09:22:38Z,13135,1,,
OCESN-1998130,000060,OCESN13135F743899:2022-02-24T20:40:14Z,13135,1,,
OCESN-1998130,000034,OCESN13137F690349:2022-03-08T20:46:18Z,13137,1,,
OCESN-1998130,000061,OCESN13137F692072:2022-02-14T09:22:38Z,13137,1,,
OCESN-1998130,000062,OCESN13137F693808:2022-03-01T20:49:34Z,13137,1,,
OCESN-1998130,000039,OCESN13137F712966:2022-02-22T20:26:28Z,13137,1,,
OCESN-1998130,000044,OCESN13138F549214:2022-02-14T09:22:38Z,13138,0,,
OCESN-1998130,000019,OCESN13138F551046:2022-02-14T09:22:38Z,13138,0,,
OCESN-1998130,000063,OCESN13138F711857:2022-03-04T01:43:16Z,13138,0,,
OCESN-1998130,000064,OCESN13138F763603:2022-03-04T20:33:16Z,13138,0,,
OCESN-1998130,000065,OCESN13139F694525:2022-03-07T20:46:24Z,13139,1,,
OCESN-1998130,000066,OCESN13139F711605:2022-02-22T20:26:28Z,13139,1,,
OCESN-1998130,000067,OCESN13140F712773:2022-03-09T20:30:55Z,13140,0,,
OCESN-1998130,000044,OCESN13141F549208:2022-03-09T20:30:55Z,13141,1,,
OCESN-1998130,000056,OCESN13141F565811:2022-02-23T20:44:24Z,13141,1,,
OCESN-1998130,000045,OCESN13141F730492:2022-02-14T09:22:38Z,13141,1,,
OCESN-1998130,000049,OCESN13141F735181:2022-02-14T09:22:38Z,13141,1,,
OCESN-1998130,000047,OCESN13141F743923:2022-02-14T09:22:38Z,13141,1,,
OCESN-1998130,000050,OCESN13141F763913:2022-03-04T20:33:16Z,13141,1,,
OCESN-1998130,000068,OCESN13142F549217:2022-03-10T20:29:31Z,13142,0,,
OCESN-1998130,000069,OCESN13142F723682:2022-03-04T01:43:16Z,13142,0,,
OCESN-1998130,000070,OCESN13142F730453:2022-02-14T09:22:38Z,13142,0,,
OCESN-1998130,000041,OCESN13142F730480:2022-02-14T09:22:38Z,13142,0,,
OCESN-1998130,000042,OCESN13142F730496:2022-03-04T20:33:16Z,13142,0,,
OCESN-1998130,000050,OCESN13142F764385:2022-03-09T20:30:55Z,13142,0,,
OCESN-1998130,000071,OCESN13143F568671:2022-03-10T20:29:31Z,13143,1,,
OCESN-1998130,000072,OCESN13143F720249:2022-02-24T20:40:14Z,13143,1,,
